level,thesis_oa_suffix,domain_h,category_h,type_h,note
type,gastro_t_restaurant_sonstiges_stock,Gastronomy,Restaurant,Other Restaurant,
type,gastro_t_restaurant_steakhouse_stock,Gastronomy,Restaurant,Steakhouse,
type,gastro_t_restaurant_sushi_stock,Gastronomy,Restaurant,Sushi Restaurant,
type,gastro_t_restaurant_tuerkisch_stock,Gastronomy,Restaurant,Turkish Restaurant,
type,gastro_t_sonstige_cafes_stock,Gastronomy,Cafe,Other Cafes,
type,sport_t_basketball_stock,Sports and Recreation,Sport,Basketball,
type,sport_t_fitnesszentrum_stock,Sports and Recreation,Sport,Fitness Center,
type,sport_t_fussball_stock,Sports and Recreation,Sport,Football,
type,sport_t_kampfsport_stock,Sports and Recreation,Sport,Martial Arts,
type,sport_t_sauna_stock,Sports and Recreation,Recreation,Sauna,
type,sport_t_schwimmen_stock,Sports and Recreation,Sport,Swimming,
type,sport_t_sonstige_sportarten_stock,Sports and Recreation,Sport,Other Sports,"'sonstige_sportarten' (plural, Other Sports) vs 'sonstiges_sport' (singular, Other Sport) -- thesis carries both near-duplicate residual buckets; mapped 1:1 by cardinality, not a translation ambiguity we can resolve further"
type,sport_t_sonstiges_erholung_stock,Sports and Recreation,Recreation,Other Recreation,
type,sport_t_sonstiges_sport_stock,Sports and Recreation,Sport,Other Sport,"'sonstige_sportarten' (plural, Other Sports) vs 'sonstiges_sport' (singular, Other Sport) -- thesis carries both near-duplicate residual buckets; mapped 1:1 by cardinality, not a translation ambiguity we can resolve further"
type,sport_t_spielplatz_stock,Sports and Recreation,Recreation,Playground,
type,sport_t_sportzentrum_stock,Sports and Recreation,Sport,Sports Center,
type,sport_t_tennis_stock,Sports and Recreation,Sport,Tennis,
type,sport_t_tischtennis_stock,Sports and Recreation,Sport,Table Tennis,
type,sport_t_wassersport_stock,Sports and Recreation,Recreation,Water Sports,
type,vergnuegung_t_bar_stock,Entertainment,Bar,Bar,
type,vergnuegung_t_biergarten_stock,Gastronomy,Restaurant,Beer Garden,"KNOWN DOMAIN DIVERGENCE (documented, not a bug): thesis 71_oa.sql groups Biergarten under 'vergnuegung' (Entertainment); the current OSM taxonomy (seed_poi_mapping.csv) classifies 'Beer Garden' under Gastronomy > Restaurant. Mapped to domain_h='Gastronomy' (where OA-A.2 actually computes it), not 'Entertainment', so the join finds the real leaf. Flagged for geo-DS/domain-expert review (A.3, #167)."
type,vergnuegung_t_bordell_stock,Entertainment,Nightlife,Brothel,
type,vergnuegung_t_gallerie_stock,Entertainment,Culture,Gallery,
type,vergnuegung_t_kino_stock,Entertainment,Leisure,Cinema,
type,vergnuegung_t_kunstzentrum_stock,Entertainment,Culture,Art Center,
type,vergnuegung_t_museum_stock,Entertainment,Culture,Museum,
type,vergnuegung_t_nachtclub_stock,Entertainment,Nightlife,Nightclub,
type,vergnuegung_t_pub_stock,Entertainment,Bar,Pub,
type,vergnuegung_t_spielothek_stock,Entertainment,Nightlife,Gambling,
type,vergnuegung_t_theater_stock,Entertainment,Culture,Theater,
type,vergnuegung_t_zoo_stock,Entertainment,Culture,Zoo,
