dominance_group,group_description,child_grain,poi_domain_h,poi_category_h,poi_type_h,child_label,is_public_safe
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Other Restaurant,Other Restaurant,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Steakhouse,Steakhouse,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Sushi Restaurant,Sushi Restaurant,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Turkish Restaurant,Turkish Restaurant,false
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Art,,Art,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Clothing,,Clothing,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Drugstore,,Drugstore,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Food and Drink,,Food and Drink,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Hardware,,Hardware,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Medical,,Medical,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Other Goods,,Other Goods,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Other Shop,,Other Shop,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Print,,Print,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Tech,,Tech,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Toys and Gifts,,Toys and Gifts,true
retail_category,"Retail category-level offering monoculture -- OA-D0 domain sign-off Condition A.2 (category grain only, type grain fragments too finely)",category,Retail,Workshop,,Workshop,true
entertainment_category,"Entertainment category-level offering monoculture (Bar/Nightlife/Culture/Leisure) -- OA-D0 domain sign-off Condition A.3",category,Entertainment,Bar,,Bar,true
entertainment_category,"Entertainment category-level offering monoculture (Bar/Nightlife/Culture/Leisure) -- OA-D0 domain sign-off Condition A.3",category,Entertainment,Nightlife,,Nightlife,true
entertainment_category,"Entertainment category-level offering monoculture (Bar/Nightlife/Culture/Leisure) -- OA-D0 domain sign-off Condition A.3",category,Entertainment,Culture,,Culture,true
entertainment_category,"Entertainment category-level offering monoculture (Bar/Nightlife/Culture/Leisure) -- OA-D0 domain sign-off Condition A.3",category,Entertainment,Leisure,,Leisure,true
wellness_curated,"Curated cross-domain wellness/fitness dominance group (Services>Beauty+Massage pooled with Sports and Recreation>Fitness Center/Martial Arts/Sauna) -- OA-D0 domain sign-off Condition A.4/A.5, resolving the fitness/wellness signal-placement gap",category,Services,Beauty,,Beauty,true
wellness_curated,"Curated cross-domain wellness/fitness dominance group (Services>Beauty+Massage pooled with Sports and Recreation>Fitness Center/Martial Arts/Sauna) -- OA-D0 domain sign-off Condition A.4/A.5, resolving the fitness/wellness signal-placement gap",category,Services,Massage,,Massage,true
wellness_curated,"Curated cross-domain wellness/fitness dominance group (Services>Beauty+Massage pooled with Sports and Recreation>Fitness Center/Martial Arts/Sauna) -- OA-D0 domain sign-off Condition A.4/A.5, resolving the fitness/wellness signal-placement gap",type,Sports and Recreation,Sport,Fitness Center,Fitness Center,true
wellness_curated,"Curated cross-domain wellness/fitness dominance group (Services>Beauty+Massage pooled with Sports and Recreation>Fitness Center/Martial Arts/Sauna) -- OA-D0 domain sign-off Condition A.4/A.5, resolving the fitness/wellness signal-placement gap",type,Sports and Recreation,Sport,Martial Arts,Martial Arts,true
wellness_curated,"Curated cross-domain wellness/fitness dominance group (Services>Beauty+Massage pooled with Sports and Recreation>Fitness Center/Martial Arts/Sauna) -- OA-D0 domain sign-off Condition A.4/A.5, resolving the fitness/wellness signal-placement gap",type,Sports and Recreation,Recreation,Sauna,Sauna,true
